avg_cl,avg_nitrate,avg_nitrit,avg_ph,avg_turbidity,date,station
260,,0.002,8.22,2.7,2014-06-22T00:00:00.000Z,H
241,0.018,0.0015,8.37,1.7,2005-09-18T00:00:00.000Z,H
265.75,0.18125,0.0145,8.8725,1.525,2011-05-22T00:00:00.000Z,K
261.25,0.036500000000000005,0.00775,8.467500000000001,1.425,2020-07-05T00:00:00.000Z,A
241.25,0.00575,0,,2.2,2006-06-25T00:00:00.000Z,A
320.75,0.00775,0.002,8.585,2.125,2017-11-12T00:00:00.000Z,D
275.5,0.15,0.01625,8.8675,3.475,2002-05-05T00:00:00.000Z,D
269.75,0.312,0.016,8.075,0.7875,2015-02-15T00:00:00.000Z,A
259.75,0.0305,0.002,8.405,1.3,2007-12-23T00:00:00.000Z,G
281.75,0.005,0.002,8.4525,1.45,2015-10-11T00:00:00.000Z,K
276.75,0.57875,0.009,8.1425,1.1,2020-02-09T00:00:00.000Z,D
278,0.04625,0.013000000000000001,8.6375,2.675,2019-06-10T00:00:00.000Z,K
315.5,,0.002,8.3025,1.475,2018-07-29T00:00:00.000Z,G
246,0.0421,0.007,,5.1,2005-10-30T00:00:00.000Z,H
264.5,0.16675,0.014,9.030000000000001,2.65,2011-05-15T00:00:00.000Z,D
249.5,0.2765,0.016,8.685,2.275,2000-03-26T00:00:00.000Z,A
265.5,0.002,0.0015,8.555,1.825,2000-08-20T00:00:00.000Z,G
290.25,0.021249999999999998,0.002,8.2925,1.3,2019-11-10T00:00:00.000Z,K
241.5,0.364,0.0105,,2.3,2006-02-19T00:00:00.000Z,A
255,0.134,0.189,8.15,1.9,2013-01-06T00:00:00.000Z,H
250.5,0,0.002,8.35,1.1,2013-10-06T00:00:00.000Z,A
235.5,0.1645,0.12275,8.11,4.775,2006-01-29T00:00:00.000Z,G
302,0.077,0.009,8.74,2.8,2018-04-23T00:00:00.000Z,H
252,0.325,0.019,8.87,2.4,2012-04-01T00:00:00.000Z,H
260,0.005,0.002,8.665,1.35,2014-06-29T00:00:00.000Z,D
263.25,0.01375,0.003,8.7325,1.575,2008-06-01T00:00:00.000Z,A
277,0.25475000000000003,0.00725,8.795,3.15,2009-03-08T00:00:00.000Z,A
241.75,0.09225,0.0195,8.1575,2.325,2006-01-15T00:00:00.000Z,D
241,0.019,0,,2.5,2006-06-25T00:00:00.000Z,H
252,0.061,0.004,8.67,1.1,2013-12-22T00:00:00.000Z,H
239,,0.16775,8.2925,4.575,2005-01-16T00:00:00.000Z,D
243.75,0.05275,0.00435,,2.95,2005-12-18T00:00:00.000Z,D
309,0.005,0.002,8.3825,1.5,2017-08-27T00:00:00.000Z,D
248,0.022,0,,2.225,2006-09-10T00:00:00.000Z,G
257,0.055,0.007,8.57,2.6,2020-07-05T00:00:00.000Z,H
278,0.338,0.011,8.21,11,2009-03-29T00:00:00.000Z,H
270.75,0.006500000000000001,0.002,9.025,1.55,2008-08-10T00:00:00.000Z,G
292.75,0.006500000000000001,0.002,8.5625,4.95,2001-10-29T00:00:00.000Z,D
266,0.23,0.161,8.13,9.81,2010-01-24T00:00:00.000Z,H
257,0.207,0.044,7.39,2,2008-03-10T00:00:00.000Z,H
278,0.204,0.179,8.01,21,2016-01-25T00:00:00.000Z,H
288.25,0.4705,0.00375,8.125,2.075,2002-01-29T00:00:00.000Z,A
265.75,0.272,0.0155,8.65,2.05,2011-04-26T00:00:00.000Z,D
299,0.00855,0.002,8.175,1.15,2016-09-18T00:00:00.000Z,D
285,0.3385,0.017,8.76,3.175,2002-03-03T00:00:00.000Z,A
248.75,0.25725,0.017,9.2175,3.8000000000000003,2012-04-15T00:00:00.000Z,A
268.25,0.185,0.013,8.82,3.25,2009-04-19T00:00:00.000Z,D
249.5,0.19375,0.0155,9.4525,9,2012-04-29T00:00:00.000Z,G
268.25,0.225548125,0.01394325,8.6775,,2020-04-05T00:00:00.000Z,A
242,0.00825,0.011,,2.3,2006-01-08T00:00:00.000Z,A
255.75,0.30475,0.02,9.0975,4.225,2012-04-01T00:00:00.000Z,A
270,0.041,0.002,7.63,3.5,2020-11-09T00:00:00.000Z,H
237.5,0.30974999999999997,0.018,9.1025,1.2,2013-04-21T00:00:00.000Z,G
242.5,0.011,0.009,7.93,2.15,2006-01-02T00:00:00.000Z,A
272.75,0.29575,0.0125,8.7025,3.0325,2010-02-14T00:00:00.000Z,K
250.25,0.042,0.00375,8.434999999999999,0.875,2013-12-22T00:00:00.000Z,A
251.75,0.001,0,8.4725,1.425,2006-10-03T00:00:00.000Z,K
270.25,0.1735,0.0705,8.23,2.25,2015-02-08T00:00:00.000Z,A
283,0.062,0.006,8.4,28.2,2002-06-09T00:00:00.000Z,H
270.5,0.3165,0.0105,8.8125,2.275,2009-03-29T00:00:00.000Z,A
269,0.29825,0.01125,8.735,3.2275,2010-03-14T00:00:00.000Z,A
231,0.008,0.003,8.9,3.2,2004-08-08T00:00:00.000Z,H
234.25,0.58775,0.00925,8.27,5,2000-02-06T00:00:00.000Z,G
247.5,0.002,0.001,8.7,1.975,2007-07-15T00:00:00.000Z,G
226.75,0.15250000000000002,0.018250000000000002,8.975,3,2004-06-06T00:00:00.000Z,K
242,0.098,0.013,9.08,2.1,2013-06-23T00:00:00.000Z,H
238.75,0.126125,0.17174999999999999,8.04,1.65,2005-01-09T00:00:00.000Z,A
246.5,0.02175,0.00575,8.965,1.85,2013-07-14T00:00:00.000Z,K
270.25,0.002,0.004,8.8125,3.425,2001-05-13T00:00:00.000Z,A
241.75,0.34625,0.00375,8.05,2.05,2006-02-12T00:00:00.000Z,A
197.5,1.0345,0.0245,8.3,9.675,2004-02-22T00:00:00.000Z,G
311.75,0.005,0.002,8.4375,1.425,2017-09-17T00:00:00.000Z,A
221,0.103,0.012,8.6,6.1,2004-06-27T00:00:00.000Z,H
251,0.355,0.086,8.26,5.9,2012-02-05T00:00:00.000Z,H
271.5,0.15725,0.1065,8.6325,2.7,2009-02-22T00:00:00.000Z,G
258.5,0.00625,0.002,9,1.65,2012-08-05T00:00:00.000Z,G
279,0.257,0.015,8.59,3.2,2016-03-13T00:00:00.000Z,H
265,0.036,0.002,7.72,2.9,2020-08-02T00:00:00.000Z,H
285,0.014,0.002,8.48,2.9,2002-07-28T00:00:00.000Z,H
279,0.311,0.006,8.3425,3.075,2016-02-14T00:00:00.000Z,D
233.75,0.0072499999999999995,0.0032500000000000003,8.8,2.125,2004-08-08T00:00:00.000Z,A
322,0.005,0.002,8.557500000000001,2.05,2018-09-03T00:00:00.000Z,D
247.75,0.1725,0.06375,8.149999999999999,1.8250000000000002,2004-01-11T00:00:00.000Z,A
265.75,0.04525,0.01225,8.762500000000001,3.325,2001-04-01T00:00:00.000Z,D
292,0.048,0.005,8.13,2.9,2002-12-22T00:00:00.000Z,H
242,0.061,0.009,8.32,2.5,2003-12-16T00:00:00.000Z,H
287,0.005,0.002,8.594999999999999,1.275,2016-07-10T00:00:00.000Z,G
296.5,0.002,0.00175,8.54,3.05,2002-09-29T00:00:00.000Z,D
262.5,0.228,0.01625,8.9725,1.925,2011-05-11T00:00:00.000Z,A
268,0.066,0.076,8.37,3,2001-02-05T00:00:00.000Z,H
301,0.102,0.003,8.09,1.3,2015-11-29T00:00:00.000Z,H
267,0.003,0.002,8.39,2.9,2000-08-13T00:00:00.000Z,H
287,0.05225,0.003,8.32,6.225,2009-11-29T00:00:00.000Z,D
287,0.054,0.003,8.18,2.3,2019-11-10T00:00:00.000Z,H
298,0.005,0.002,8.41,1.475,2016-08-21T00:00:00.000Z,G
313.5,0.007,0.002,8.5175,1.05,2018-07-23T00:00:00.000Z,A
259,0.091,0.018,7.38,1.8,2008-05-11T00:00:00.000Z,H
279,0.005,0.002,8.575,1.175,2015-08-16T00:00:00.000Z,D
,,,,,2007-04-10T00:00:00.000Z,H
273.25,0.20625,0.0105,8.7175,1.65,2016-04-10T00:00:00.000Z,G
255,0.3605,0.002,8.030000000000001,2.175,2000-02-07T00:00:00.000Z,A
248,0.147,0.032,8.47,3.1,2007-02-25T00:00:00.000Z,H
254,0.034,0.002,8.94,2.7,2013-11-24T00:00:00.000Z,H
273,0.007,0.002,8.53,1.1,2010-08-01T00:00:00.000Z,H
230.75,0.0245,0.00475,8.875,3.125,2004-07-18T00:00:00.000Z,G
278,0.028749999999999998,0.002,8.432500000000001,1.425,2011-11-06T00:00:00.000Z,G
268.25,0.053000000000000005,0.0075,8.68,1.625,2015-05-31T00:00:00.000Z,D
262.25,0.29374999999999996,0.01525,8.7925,3,2015-03-15T00:00:00.000Z,G
269.5,0.0785,0.004,8.305,1.9749999999999999,2020-12-20T00:00:00.000Z,G
244,0.08875,0.013,9.209999999999999,1.825,2013-06-23T00:00:00.000Z,A
280.75,0.020999999999999998,0.00675,8.79,1.425,2016-05-22T00:00:00.000Z,G
274.5,0.006666666666666667,0.002,8.545,1.175,2010-08-01T00:00:00.000Z,K
280,0.006,0.002,8.56,7.2,2001-08-20T00:00:00.000Z,H
244.25,0.06620000000000001,0.003,8.475,2.4,2005-11-22T00:00:00.000Z,D
279.25,0.0935,0.00575,8.295,1.35,2011-01-09T00:00:00.000Z,G
285.75,0.029,0.002,8.6475,1.9749999999999999,2009-11-09T00:00:00.000Z,K
282.75,0.002,0.00275,8.7375,2.425,2001-08-20T00:00:00.000Z,K
281,0.406,0.119,8.18,3.8,2002-01-21T00:00:00.000Z,H
254,0.00775,0.002,8.8675,2.675,2012-07-08T00:00:00.000Z,D
262.65,0.193769125,0.01214925,8.5975,1.4,2020-04-26T00:00:00.000Z,G
268,0.12775,0.015,8.6925,1.8,2010-05-09T00:00:00.000Z,D
250.5,0.18375,0.01375,8.780000000000001,2.325,2000-04-09T00:00:00.000Z,A
270.25,0.01225,0.0032500000000000003,9.0525,1.925,2009-05-31T00:00:00.000Z,A
287,0.012,0.002,8.29,2,2019-09-22T00:00:00.000Z,H
269.25,0.144,0.025500000000000002,8.4325,1.625,2001-03-04T00:00:00.000Z,A
319.5,0.005,0.002,8.4775,1.8,2017-11-05T00:00:00.000Z,D
282,0.028,0.002,8.71,1.5,2010-10-03T00:00:00.000Z,H
313,0.045,0.002,8.27,2.4,2017-12-17T00:00:00.000Z,H
246.5,0.3035,0.02325,8.6,2.075,2014-01-28T00:00:00.000Z,G
313.25,0.005,0.002,8.405000000000001,1.425,2017-09-17T00:00:00.000Z,K
243.75,0.39025,0.0205,9.05,2.925,2013-04-07T00:00:00.000Z,D
280,0.04,0.01225,8.567499999999999,1.425,2009-01-25T00:00:00.000Z,A
268,0.036,0.005,8.6,1.4,2011-07-24T00:00:00.000Z,H
260,0.267,0.015,8.67,3.1,2015-04-12T00:00:00.000Z,H
252.5,0.03025,0.00425,8.52,0.9125,2013-12-29T00:00:00.000Z,A
269,0.005,0.002,8.5925,1.65,2008-07-13T00:00:00.000Z,D
314.5,0.0095,0.002,8.1475,1.4,2017-09-24T00:00:00.000Z,A
306.25,0.38325,0.005,8.1325,1.75,2019-02-17T00:00:00.000Z,A
246,0.227,0.013,8.89,3,2000-04-09T00:00:00.000Z,H
281.25,0.0265,0.00825,8.59,1.7,2016-05-29T00:00:00.000Z,G
251.5,0.09675,0.01575,8.934999999999999,3.45,2012-05-20T00:00:00.000Z,D
240.25,0.08574999999999999,0.00425,8.25,4,2003-12-07T00:00:00.000Z,G
251.25,0.1885,0.04775,8.3,2.4,2004-01-11T00:00:00.000Z,K
231.25,0.092,0.014499999999999999,9.055,2.75,2005-05-15T00:00:00.000Z,K
265,0.005,0.002,9.145,2.225,2012-09-23T00:00:00.000Z,A
245.75,0.01075,0.002,8.995000000000001,1.375,2013-08-04T00:00:00.000Z,A
312.25,0.00575,0.002,8.2425,1.6,2017-09-10T00:00:00.000Z,G
241.5,0.0327,0.0056,8.48,1.9,2005-11-06T00:00:00.000Z,G
244.75,0.4515,0.014,8.8475,6.25,2013-03-03T00:00:00.000Z,G
270,0.005,0.002,8.52,2.6,2015-07-19T00:00:00.000Z,H
241.25,0.089575,0.0055,8.0975,1.525,2004-12-12T00:00:00.000Z,A
271,0.6,0.011666666666666667,8.32,2.533333333333333,2020-02-16T00:00:00.000Z,A
270.75,0.02825,0.01375,8.120000000000001,1.725,2001-01-14T00:00:00.000Z,A
241,0.18375,0.0155,9.1,1.75,2013-05-26T00:00:00.000Z,D
257,0.202,0.028,8.58,7.8,2008-04-13T00:00:00.000Z,H
284,0.004,0.002,8.6275,2,2009-09-21T00:00:00.000Z,D
316.25,0.01675,0.002,8.29,1.225,2017-12-17T00:00:00.000Z,A
256.5,0.0055,0.002,9.0175,2.725,2012-07-15T00:00:00.000Z,D
282.25,0.002,0.0015,8.55,2.175,2001-08-20T00:00:00.000Z,A
308.75,0.12425,0.0495,8.51,3.4375,2018-02-12T00:00:00.000Z,A
258.90909090909093,,,,,2000-01-02T00:00:00.000Z,1
269.5,0.0755,0.03925,8.2325,1.5,2015-01-11T00:00:00.000Z,G
271,0.009000000000000001,0.0022500000000000003,8.675,2.75,2001-05-20T00:00:00.000Z,G
278,0.04575,0.0032500000000000003,8.1475,1.4,2011-12-04T00:00:00.000Z,K
277,0.085,0.012,7.98,2.1,2016-01-10T00:00:00.000Z,H
256.25,0.16925,0.02425,8.835,2.025,2008-04-13T00:00:00.000Z,A
,0.558,0.012,7.72,3.1,2020-02-16T00:00:00.000Z,H
270.25,0.023,0.002,8.165,1.3,2020-09-29T00:00:00.000Z,A
269,0.035750000000000004,0.0022500000000000003,8.4225,1.95,2020-11-23T00:00:00.000Z,TZ
280.25,0.0825,0.006,8.1525,1.595,2009-12-28T00:00:00.000Z,A
278,0.24475,0.01375,8.7275,2.525,2016-03-13T00:00:00.000Z,K
263.5,,0.002,8.91,2.125,2012-09-02T00:00:00.000Z,G
284.75,0.42974999999999997,0.02275,8.530000000000001,3.025,2019-04-01T00:00:00.000Z,G
277,0.007,0.002,8.37,3.3,2019-07-07T00:00:00.000Z,H
250,0.052,0.007,8.58,3,2013-07-14T00:00:00.000Z,H
278.5,,0.002,8.595,1.0875,2010-08-22T00:00:00.000Z,D
269,0.025,0.005,8.86,2.5,2009-05-31T00:00:00.000Z,H
253,0.0295,0.003,8.036666666666667,1.375,2006-12-17T00:00:00.000Z,A
253.25,0.008,0.002,8.9675,2.425,2012-07-01T00:00:00.000Z,K
291,0.005,0.002,8.55,1.8,2016-07-17T00:00:00.000Z,H
282.25,0.03,0.002,8.5825,1.1,2019-07-28T00:00:00.000Z,A
231,0.175,0.015,8.98,4.6,2005-05-01T00:00:00.000Z,H
270.5,0.022,0.00675,8.92,2.7,2009-05-24T00:00:00.000Z,D
271.75,0.349,0.016,8.4575,3.225,2010-03-01T00:00:00.000Z,G
296.5,0.005,0.002,8.3775,1.525,2016-08-15T00:00:00.000Z,D
254,0.006,0.002,8.9975,2.275,2012-07-01T00:00:00.000Z,D
243.75,0.121,0.01575,9.205,1.65,2013-06-16T00:00:00.000Z,A
239.25,0.032025,0.00275,8.754999999999999,2.75,2004-10-31T00:00:00.000Z,D
239.75,0.0879,0.003,8.6775,1.8,2004-11-14T00:00:00.000Z,G
265,0.177,0.015,8.83,1.9,2011-05-29T00:00:00.000Z,H
259.75,0.007,0.002,8.6475,1.425,2007-11-11T00:00:00.000Z,A
240.5,0.20174999999999998,0.019,8.5775,3,2003-07-27T00:00:00.000Z,A
283.75,0.020666666666666667,0.0022500000000000003,8.08,1.825,2015-11-22T00:00:00.000Z,G
283,0.2615,0.00975,8.695,2.75,2002-02-17T00:00:00.000Z,G
286.75,0.006500000000000001,0.002,8.8575,1.875,2009-10-25T00:00:00.000Z,D
259.75,,0.002,8.6625,1.725,2014-06-22T00:00:00.000Z,K
326.25,0.005,0.002,8.5175,2.2,2018-11-18T00:00:00.000Z,G
282,0.005,0.002,9.0525,2.875,2008-09-21T00:00:00.000Z,D
271.25,0.008,0.002,8.5775,1.175,2020-10-18T00:00:00.000Z,G
234.5,0.3195,0.0165,8.4575,3.45,2005-02-20T00:00:00.000Z,D
272.5,0.029249999999999998,0.002,8.3625,1.3,2020-11-29T00:00:00.000Z,A
272,0.169,0.006,8.2,1.6,2011-01-23T00:00:00.000Z,H
275.5,0.03175,0.0032500000000000003,8.2475,0.975,2014-12-14T00:00:00.000Z,D
246.5,0.004666666666666667,0.0022500000000000003,8.88,1.475,2013-07-28T00:00:00.000Z,D
233.5,0.24,0.05975,8.834999999999999,3.4,2003-06-15T00:00:00.000Z,D
226.25,0.1625,0.01675,8.95,3.675,2004-06-06T00:00:00.000Z,A
322.5,0.00725,0.002,8.4625,2.525,2018-11-11T00:00:00.000Z,D
269.5,0.009,0.002,8.5775,1.7,2008-07-20T00:00:00.000Z,D
267,0.0075,0.002,8.627500000000001,1.7,2008-06-29T00:00:00.000Z,D
248.5,0.0022500000000000003,0.001,,2.525,2007-07-08T00:00:00.000Z,G
271.25,0.017750000000000002,0.002,7.965,1.25,2020-11-01T00:00:00.000Z,A
264.5,0.14075000000000001,0.0135,9.067499999999999,1.625,2011-05-29T00:00:00.000Z,A
265.25,0.00675,0.002,8.5175,1.1,2020-08-09T00:00:00.000Z,A
242,0.308,0.15575,,2.15,2006-02-05T00:00:00.000Z,A
256.25,0.41,0.00925,8.655000000000001,5.2,2003-03-03T00:00:00.000Z,D
278,0.069,0.005,8.23,1.7,2011-11-27T00:00:00.000Z,H
243,0.126,0.01875,8.825,3.675,2007-04-10T00:00:00.000Z,A
253.5,0.025,0.0015,,2.15,2006-12-10T00:00:00.000Z,D
250,0.645,0.028,8.5,4,2019-04-07T00:00:00.000Z,H
261,0.28776,0.0133595,8.35,,2020-04-05T00:00:00.000Z,H
273,0.18,0.008,8.66,3.9,2016-02-21T00:00:00.000Z,H
280.25,0.002,0.00175,8.5325,4.125,2001-08-13T00:00:00.000Z,D
251.75,0.00975,0.002,8.955,1.4,2013-11-24T00:00:00.000Z,A
252.25,0.31625000000000003,0.0245,8.3825,1.925,2000-03-05T00:00:00.000Z,A
261,0.2635,0.0155,8.5775,1.95,2015-04-12T00:00:00.000Z,A
288.25,,0.002,8.41,1.725,2019-09-08T00:00:00.000Z,D
243.25,0.0655,0.00465,8.4,1.95,2005-12-04T00:00:00.000Z,G
315.5,0.00875,0.002,8.395,1.0125,2018-08-05T00:00:00.000Z,A
290.5,0.03475,0.00675,8.07,4.1499999999999995,2002-12-22T00:00:00.000Z,A
254,0.00825,0.0022500000000000003,9.0875,3.55,2012-06-24T00:00:00.000Z,D
243.5,0.056749999999999995,0.00975,8.92,1.75,2013-06-30T00:00:00.000Z,K
259.75,0.08675,0.0825,8.045,2.3,2000-01-23T00:00:00.000Z,A
228,0.239,0.013,8.63,2.2,2005-04-10T00:00:00.000Z,H
283.75,0.02325,0.002,7.9825,0.7124999999999999,2015-11-29T00:00:00.000Z,A
263.75,0.28325,0.01525,8.5725,2.15,2015-03-29T00:00:00.000Z,G
281.75,0.00525,0.002,8.685,1.45,2019-07-14T00:00:00.000Z,D
241,0.103,0.01,,3.1,2007-05-27T00:00:00.000Z,H
290.25,0.27575000000000005,0.01375,8.307500000000001,4.975,2017-03-13T00:00:00.000Z,D
284,0.104,0.012,8.73,2.3,2016-05-01T00:00:00.000Z,H
